,result,prop,energy
1,000001,0.24513601136662463,25.0
9,001001,0.004645893318905199,26.0
18,010010,0.0066234577259946135,27.0
26,011010,0.036197636539013416,28.0
38,100110,0.03929306648788186,28.0
29,011101,0.020041161951606146,29.0
5,000101,0.02821686088791467,30.0
33,100001,0.06225379784952005,31.0
42,101010,0.006885406685797698,32.0
22,010110,0.004285246017211995,32.0
20,010100,0.03479976280071945,36.0
6,000110,0.004550414316130787,38.0
34,100010,0.011856033450479149,39.0
41,101001,0.0018792125647588776,40.0
24,011000,0.033616487301128525,48.0
45,101101,0.0033372219050451226,49.0
10,001010,0.012022727530061438,50.0
17,010001,0.02854834395085723,51.0
37,100101,0.008026794029176925,52.0
16,010000,0.01013117934750695,63.0
36,100100,0.00026037596098561983,64.0
2,000010,0.031843379010673134,65.0
25,011001,0.010444186742347589,68.0
13,001101,0.003171233385578039,83.0
40,101000,0.0013847930596985777,84.0
30,011110,0.008907407920859318,85.0
21,010101,0.0006586695127735948,88.0
4,000100,0.009418211168942595,106.0
32,100000,0.00418143464405175,107.0
8,001000,0.009919164272023598,134.0
46,101110,0.004653563330381407,137.0
0,000000,0.006636390306749686,165.0
53,110101,0.0578847301409703,166.0
28,011100,0.0025127625997366887,201.0
57,111001,0.02103283679530156,202.0
14,001110,0.011006287532076865,203.0
49,110001,0.0037638154409791232,241.0
44,101100,0.0014086349806905457,285.0
54,110110,0.003763825681763756,334.0
12,001100,2.1056696032718193e-05,383.0
58,111010,0.03347104192915447,386.0
50,110010,0.016976616878359285,441.0
61,111101,0.023484093485451538,499.0
52,110100,0.007242588199755589,562.0
56,111000,0.012734852698828,630.0
48,110000,0.0012936459361382992,701.0
62,111110,0.011541504893428752,779.0
23,010111,0.006630909374502589,1028.0
60,111100,0.0014275046319370968,1119.0
27,011011,0.002623743565359461,1120.0
19,010011,0.008230938191305773,1215.0
39,100111,0.015329591040455306,1216.0
43,101011,0.005842039903854171,1316.0
7,000111,0.013684364218795354,1418.0
35,100011,0.0014783758933415417,1419.0
11,001011,0.008017077671139005,1526.0
3,000011,0.0009952292186531037,1637.0
31,011111,0.01832253711433466,1753.0
47,101111,0.005723099528046779,1997.0
15,001111,0.0023956989253485182,2255.0
55,110111,0.0016378155469789566,2674.0
59,111011,0.0053446077229743726,2822.0
51,110011,0.0003268609040356041,2973.0
63,111111,2.5787318858944357e-05,3791.0
