,result,prop,energy
1,000001,0.25084496685133123,25.0
9,001001,0.003856455595897883,26.0
18,010010,0.005808488752489531,27.0
26,011010,0.03165632496269109,28.0
38,100110,0.04320572383365424,28.0
29,011101,0.01487571628639984,29.0
5,000101,0.031756689953760214,30.0
33,100001,0.06853795690532864,31.0
42,101010,0.0038415610460791664,32.0
22,010110,0.005990359332566689,32.0
20,010100,0.031077295300385326,36.0
6,000110,0.00533577371643827,38.0
34,100010,0.005312204741078007,39.0
41,101001,0.0024911112407128627,40.0
24,011000,0.028477092930892636,48.0
45,101101,0.0027979307926249376,49.0
10,001010,0.01202825279735281,50.0
17,010001,0.02461014277096861,51.0
37,100101,0.007965961880747278,52.0
16,010000,0.011649282739247417,63.0
36,100100,0.00018471798359135012,64.0
2,000010,0.026227768423025138,65.0
25,011001,0.01432920054996999,68.0
13,001101,0.0023497558250065854,83.0
40,101000,0.0035211190896753796,84.0
30,011110,0.010115913983104973,85.0
21,010101,0.0003863087292438046,88.0
4,000100,0.010714909940374428,106.0
32,100000,0.0032804699242569633,107.0
8,001000,0.009991160991902339,134.0
46,101110,0.003193933347698989,137.0
0,000000,0.006871743452200761,165.0
53,110101,0.054354091666432625,166.0
28,011100,0.002216907035014253,201.0
57,111001,0.017522711173254175,202.0
14,001110,0.012039289122444296,203.0
49,110001,0.0029673281417904418,241.0
44,101100,0.0028810332781910473,285.0
54,110110,0.005119934622038368,334.0
12,001100,0.00041639147524083286,383.0
58,111010,0.03416483595824101,386.0
50,110010,0.01584922391810491,441.0
61,111101,0.02655277805046886,499.0
52,110100,0.0036288931605895007,562.0
56,111000,0.010663986106468605,630.0
48,110000,0.0027077370854539863,701.0
62,111110,0.014610362486599061,779.0
23,010111,0.007100858593029694,1028.0
60,111100,0.0032047002122673894,1119.0
27,011011,0.0018779810169408547,1120.0
19,010011,0.008018695185749469,1215.0
39,100111,0.019677051151043512,1216.0
43,101011,0.009597290150282552,1316.0
7,000111,0.011162656438591451,1418.0
35,100011,0.004294299049035252,1419.0
11,001011,0.010003679035456129,1526.0
3,000011,0.0008010513392390354,1637.0
31,011111,0.017320280762781328,1753.0
47,101111,0.004011088634560512,1997.0
15,001111,0.0039219379414085756,2255.0
55,110111,0.0006947744839200782,2674.0
59,111011,0.008932946955542313,2822.0
51,110011,0.00038280680792419106,2973.0
63,111111,1.610429118223259e-05,3791.0
