,result,prop,energy
1,000001,0.016891659590780598,25.0
9,001001,0.02784206623151583,26.0
18,010010,0.03842844785546258,27.0
26,011010,0.04316686738205745,28.0
38,100110,0.04185402460840123,28.0
29,011101,0.02996397493686749,29.0
5,000101,0.02728017638927601,30.0
33,100001,0.035916351083681686,31.0
42,101010,0.03924852622022866,32.0
22,010110,0.045239340069115556,32.0
20,010100,0.01612823269021369,36.0
6,000110,0.031267153224286345,38.0
34,100010,0.0369817878541967,39.0
41,101001,0.04142682740914885,40.0
24,011000,0.017326419311979823,48.0
45,101101,0.027784677672207506,49.0
10,001010,0.031102273777977973,50.0
17,010001,0.03574397388894788,51.0
37,100101,0.042861201925014525,52.0
16,010000,0.006624467930585948,63.0
36,100100,0.018643000645170427,64.0
2,000010,0.02056579280706931,65.0
25,011001,0.043355123299986614,68.0
13,001101,0.017615546011688858,83.0
40,101000,0.019643036439390592,84.0
30,011110,0.02713682254968253,85.0
21,010101,0.04419135606243504,88.0
4,000100,0.00234968296180733,106.0
32,100000,0.008176507885130063,107.0
8,001000,0.002683275341060412,134.0
46,101110,0.02380466656305772,137.0
0,000000,0.0008018100111340276,165.0
53,110101,0.016221950287533204,166.0
28,011100,0.009020408911110285,201.0
57,111001,0.014993861432080835,202.0
14,001110,0.01789920974747455,203.0
49,110001,0.012391349319608794,241.0
44,101100,0.009825244678176373,285.0
54,110110,0.012273603230800078,334.0
12,001100,0.001123395190562644,383.0
58,111010,0.010942509593582365,386.0
50,110010,0.009827984419892542,441.0
61,111101,0.007180829797898561,499.0
52,110100,0.0036685767377701477,562.0
56,111000,0.0036631127638631572,630.0
48,110000,0.0013509009131212001,701.0
62,111110,0.004615829772258218,779.0
23,010111,5.376967274906046e-05,1028.0
60,111100,0.0013702666432222387,1119.0
27,011011,4.276875926846152e-05,1120.0
19,010011,6.302502814372387e-05,1215.0
39,100111,0.00013184743894994203,1216.0
43,101011,0.00020994129973038765,1316.0
7,000111,0.00011743284217653033,1418.0
35,100011,0.00011807758042004928,1419.0
11,001011,0.0001370380422463035,1526.0
3,000011,9.907426988844301e-05,1637.0
31,011111,5.92195944745913e-05,1753.0
47,101111,0.0001237472233982216,1997.0
15,001111,0.0001034697243069268,2255.0
55,110111,5.747098885400773e-06,2674.0
59,111011,1.7079626444694502e-06,2822.0
51,110011,2.046333088574853e-05,2973.0
63,111111,0.00029856606329669037,3791.0
