,result,prop,energy
1,000001,0.23571572922330764,25.0
9,001001,0.004938530061844477,26.0
18,010010,0.007136565564052307,27.0
26,011010,0.038420647043613025,28.0
38,100110,0.03711790625490965,28.0
29,011101,0.027474809946929774,29.0
5,000101,0.025776163483371996,30.0
33,100001,0.050687550390339835,31.0
42,101010,0.008545820558943155,32.0
22,010110,0.0031227991250110413,32.0
20,010100,0.0345874736933161,36.0
6,000110,0.005403350141784746,38.0
34,100010,0.01724704948324598,39.0
41,101001,0.002897180242352685,40.0
24,011000,0.03370090893089778,48.0
45,101101,0.006910143109526946,49.0
10,001010,0.009180610056624485,50.0
17,010001,0.03649194772907997,51.0
37,100101,0.011014729280422457,52.0
16,010000,0.011609995704678378,63.0
36,100100,0.0009761629240279341,64.0
2,000010,0.039083642722687974,65.0
25,011001,0.006560159349759908,68.0
13,001101,0.003469334178929857,83.0
40,101000,0.000736407180013319,84.0
30,011110,0.011366654864234538,85.0
21,010101,0.0012478344377958486,88.0
4,000100,0.009014197695729538,106.0
32,100000,0.003517708340894692,107.0
8,001000,0.006751940439973919,134.0
46,101110,0.005500166904840315,137.0
0,000000,0.007433694395211461,165.0
53,110101,0.053363374946559794,166.0
28,011100,0.004024393581448149,201.0
57,111001,0.027824048416183886,202.0
14,001110,0.010535032468617344,203.0
49,110001,0.006064421474816236,241.0
44,101100,0.0007347857503560099,285.0
54,110110,0.0024248976684259336,334.0
12,001100,0.00017877521294534595,383.0
58,111010,0.027464295563058457,386.0
50,110010,0.018338505354903785,441.0
61,111101,0.024436023878391538,499.0
52,110100,0.011020801100896264,562.0
56,111000,0.0105321625218042,630.0
48,110000,0.00044373678568216784,701.0
62,111110,0.008286344626723976,779.0
23,010111,0.00694314520456142,1028.0
60,111100,0.0007255021917572076,1119.0
27,011011,0.004058789032187407,1120.0
19,010011,0.007788845276854572,1215.0
39,100111,0.010828739129566806,1216.0
43,101011,0.0031947175388668896,1316.0
7,000111,0.01545261107186456,1418.0
35,100011,0.0004972390289477985,1419.0
11,001011,0.006996313933138455,1526.0
3,000011,0.0010111315571012405,1637.0
31,011111,0.017069992318252486,1753.0
47,101111,0.006464493414357841,1997.0
15,001111,0.0018143768075232478,2255.0
55,110111,0.0017478902736240416,2674.0
59,111011,0.0053520565188038514,2822.0
51,110011,0.0006920004962381636,2973.0
63,111111,5.274339717008913e-05,3791.0
