,result,prop,energy
1,000001,0.028520235773639834,25.0
9,001001,0.02625992399320713,26.0
18,010010,0.022912597392448077,27.0
26,011010,0.018586192008997294,28.0
38,100110,0.017729576299682106,28.0
29,011101,0.012360233321311592,29.0
5,000101,0.027891011336190735,30.0
33,100001,0.021377048017722108,31.0
42,101010,0.01593298251553968,32.0
22,010110,0.020465836895287384,32.0
20,010100,0.04251868056582316,36.0
6,000110,0.027915390761333352,38.0
34,100010,0.020349402856742606,39.0
41,101001,0.017519419489575302,40.0
24,011000,0.04089056341112412,48.0
45,101101,0.01066236985630575,49.0
10,001010,0.025972501541036266,50.0
17,010001,0.0235230252609696,51.0
37,100101,0.019237223790164994,52.0
16,010000,0.03974988484430587,63.0
36,100100,0.04099829653927801,64.0
2,000010,0.029144011907711178,65.0
25,011001,0.019970438911744156,68.0
13,001101,0.01639956493279534,83.0
40,101000,0.039100633437958825,84.0
30,011110,0.011089165176712028,85.0
21,010101,0.02170687259303344,88.0
4,000100,0.04078254816701771,106.0
32,100000,0.03899044801308945,107.0
8,001000,0.04010052450178705,134.0
46,101110,0.009264470949773122,137.0
0,000000,0.035287968180986826,165.0
53,110101,0.005771304118860816,166.0
28,011100,0.02539315526204555,201.0
57,111001,0.005204648547180753,202.0
14,001110,0.015589143923392463,203.0
49,110001,0.006572176378271886,241.0
44,101100,0.023631748976055852,285.0
54,110110,0.004599348125220595,334.0
12,001100,0.02621432730788081,383.0
58,111010,0.004015139816230336,386.0
50,110010,0.005438963155820305,441.0
61,111101,0.0036113188947638902,499.0
52,110100,0.012465897760756704,562.0
56,111000,0.01142388912915056,630.0
48,110000,0.013193717229051218,701.0
62,111110,0.002466548131735679,779.0
23,010111,0.00012674847363908738,1028.0
60,111100,0.006703234525654596,1119.0
27,011011,0.00020876033402666207,1120.0
19,010011,1.7789915498192076e-05,1215.0
39,100111,0.00031025076659110736,1216.0
43,101011,0.0004309690558494373,1316.0
7,000111,0.00036024279971357193,1418.0
35,100011,6.861189629682651e-05,1419.0
11,001011,0.00026211412388944247,1526.0
3,000011,0.0011616536384836053,1637.0
31,011111,0.0001464023630990901,1753.0
47,101111,0.00030696484284561655,1997.0
15,001111,8.122199283122973e-05,2255.0
55,110111,0.0002429445685877489,2674.0
59,111011,0.0003040181979695094,2822.0
51,110011,0.0001143186139004834,2973.0
63,111111,0.00035338389140254285,3791.0
