[Item(weight=1, value=2), Item(weight=1, value=2), Item(weight=1, value=1)] 2 niter: 250
BH_WFQAOA;BH_HQAOA
-2.398;-2.604;
-2.880;-2.637;
-2.449;-2.846;
-2.897;-2.469;
-2.268;-2.676;
-2.269;-2.162;
-2.772;-2.224;
-2.494;-2.389;
-2.297;-2.504;
-2.601;-3.028;
-2.435;-2.613;
-2.712;-2.608;
-2.298;-2.152;
-2.197;-2.584;
-2.301;-2.347;
-2.047;-2.634;
-2.378;-2.746;
-2.101;-2.856;
-2.662;-2.917;
-2.305;-2.382;
-2.307;-2.902;
-2.435;-2.266;
-2.500;-2.202;
-2.789;-2.306;
-2.181;-2.820;
-2.667;-2.488;
-2.802;-2.721;
-2.226;-2.440;
-2.708;-2.422;
-2.393;-2.318;
-2.659;-2.188;
-2.319;-2.606;
-2.431;-2.256;
-2.605;-2.391;
-2.393;-2.544;
-2.083;-2.776;
-2.739;-2.356;
-2.451;-2.593;
-2.014;-2.438;
-2.307;-2.601;
