[Item(weight=1, value=2), Item(weight=1, value=1)] 1
QAOA;WFQAOA;HQAOA
-1.592;-1.637;-1.055;
-1.214;-1.776;-0.791;
-1.012;-1.779;-1.500;
-0.851;-1.357;-1.166;
-1.001;-1.852;-1.393;
-1.359;-1.054;-1.636;
-0.066;-1.298;-1.064;
-0.713;-1.439;-0.973;
-1.279;-1.387;-1.162;
-1.144;-1.592;-1.274;
-1.119;-1.786;-1.007;
-0.409;-1.295;-1.079;
-0.099;-1.570;-1.225;
-0.271;-1.486;-1.758;
-0.071;-1.073;-1.618;
-0.969;-1.431;-1.757;
-0.706;-1.447;-1.031;
-0.922;-1.125;-1.021;
-1.177;-1.373;-1.275;
-0.724;-1.672;-0.767;
-0.375;-1.543;-1.647;
-0.214;-1.214;-1.582;
-0.443;-1.625;-1.117;
-0.371;-1.138;-1.010;
-0.544;-1.759;-1.279;
-1.178;-1.810;-1.500;
-0.162;-1.828;-1.832;
-1.115;-1.612;-1.462;
-1.329;-1.675;-1.316;
-1.172;-1.562;-1.722;
-0.850;-1.333;-1.462;
-1.565;-1.529;-0.962;
-0.950;-1.468;-1.835;
-0.119;-1.804;-1.135;
-0.368;-1.545;-1.164;
-0.521;-1.307;-0.987;
-1.771;-1.682;-1.514;
-0.896;-1.333;-1.027;
-0.535;-1.833;-1.854;
-1.368;-0.881;-1.617;
-0.963;-1.258;-1.634;
-0.330;-1.606;-1.792;
-0.300;-1.625;-1.534;
-0.879;-1.080;-1.040;
-0.917;-1.080;-1.460;
-1.007;-1.273;-1.031;
-1.468;-1.476;-1.225;
-0.403;-1.667;-1.651;
-1.343;-1.500;-1.212;
-1.080;-1.190;-1.475;
-0.795;-0.969;-1.516;
-1.321;-1.578;-1.449;
-0.444;-1.545;-1.235;
-1.025;-1.416;-1.139;
-0.217;-1.473;-1.179;
-0.350;-1.449;-1.604;
-0.734;-1.431;-1.344;
-1.696;-1.935;-1.776;
-0.931;-1.151;-1.901;
-1.047;-1.618;-1.112;
-0.165;-1.158;-1.675;
-1.078;-1.022;-0.682;
-0.892;-1.607;-0.878;
-1.832;-1.006;-0.803;
