QAOA;WFQAOA;HQAOA
-0.916;-1.280;-1.352
-0.613;-1.383;-1.455
-0.435;-0.983;-2.001
-0.254;-1.587;-1.465
-0.371;-1.332;-1.538
-1.038;-1.276;-1.417
-0.134;-1.796;-0.682
-0.718;-1.729;-1.894
-0.743;-1.289;-1.344
-1.293;-1.674;-0.831
-0.758;-1.771;-1.146
-0.774;-1.427;-1.491
-0.613;-1.700;-0.980
-1.311;-1.325;-1.561
-0.708;-1.084;-1.453
-0.620;-1.051;-1.312
-0.145;-1.049;-1.463
-0.867;-0.962;-1.474
-0.704;-1.632;-1.434
-0.469;-1.130;-1.295
-1.680;-1.811;-0.747
-0.368;-1.639;-0.996
-0.469;-1.775;-1.405
-0.431;-1.057;-1.523
-1.360;-1.492;-1.541
-0.780;-1.039;-0.959
-1.210;-1.772;-1.650
-0.695;-1.566;-0.937
-0.661;-1.259;-1.058
-0.203;-2.124;-1.392
-0.469;-1.184;-0.945
-0.987;-1.555;-1.256
-0.553;-1.445;-1.087
-0.983;-1.417;-1.436
-1.314;-1.475;-1.796
-1.305;-1.517;-1.379
-1.258;-1.715;-1.052
-0.440;-0.932;-0.909
-1.042;-1.827;-0.935
-0.230;-1.387;-1.568
