-0.271;-0.642;-0.615;
[Item(weight=1, value=1), Item(weight=2, value=1)]
QAOA;WFQAOA;HQAOA
-0.661;-0.628;-0.650;
-0.492;-0.657;-0.698;
[Item(weight=1, value=1), Item(weight=2, value=1)]
QAOA;WFQAOA;HQAOA
-0.151;-0.669;-0.628;
-0.314;-0.513;-0.405;
-0.266;-0.624;-0.562;
-0.095;-0.677;-0.727;
-0.338;-0.417;-0.253;
-0.125;-0.882;-0.497;
-0.625;-0.666;-0.654;
-0.182;-0.754;-0.700;
-0.565;-0.745;-0.447;
-0.761;-0.588;-0.372;
[Item(weight=1, value=1), Item(weight=2, value=1)] 1
QAOA;WFQAOA;HQAOA
-0.405;-0.719;-0.625;
-0.563;-0.569;-0.480;
-0.941;-0.969;-0.535;
-0.191;-0.906;-0.469;
-0.373;-0.425;-0.287;
-0.030;-0.437;-0.375;
-0.034;-0.636;-0.592;
-0.335;-0.958;-0.590;
-0.400;-0.532;-0.850;
-0.253;-0.503;-0.387;
