QAOA;WFQAOA;HQAOA
-1.072;-1.788;-1.031;
-0.978;-1.482;-2.229;
-0.431;-0.969;-1.469;
-0.151;-1.174;-1.375;
-0.272;-1.508;-1.524;
-0.469;-0.841;-0.852;
-1.037;-0.814;-0.581;
-0.126;-1.428;-1.672;
-0.930;-1.850;-0.997;
-0.174;-2.543;-1.337;
-0.619;-0.868;-1.266;
-1.522;-1.586;-1.470;
-0.761;-1.089;-1.403;
-0.977;-1.224;-1.283;
-0.645;-1.783;-1.141;
-0.469;-1.203;-1.171;
-0.881;-1.951;-1.636;
-0.933;-1.537;-0.709;
-1.260;-1.948;-0.880;
-1.665;-1.772;-1.801;
-0.878;-1.462;-1.657;
-0.512;-1.084;-1.348;
-0.698;-1.726;-1.396;
-0.383;-1.177;-1.832;
-0.693;-1.355;-1.416;
-0.762;-1.176;-1.450;
-0.685;-1.028;-0.938;
-0.938;-1.593;-1.053;
-0.373;-1.706;-0.832;
-1.339;-1.100;-1.149;
-0.157;-1.393;-1.203;
-0.658;-1.541;-1.711;
-0.632;-1.729;-1.026;
-1.178;-0.825;-1.671;
-0.937;-1.000;-1.161;
-0.802;-0.998;-1.666;
-1.422;-1.590;-1.695;
-1.288;-1.668;-1.605;
-0.454;-2.262;-1.415;
-0.469;-1.415;-0.956;
-1.194;-1.648;-1.412;
-0.357;-0.866;-1.202;
-0.625;-0.954;-0.777;
-0.163;-0.952;-1.474;
-1.755;-1.624;-1.067;
-1.065;-1.296;-0.915;
-1.222;-1.469;-0.981;
-0.279;-1.160;-1.286;
-0.908;-1.342;-1.765;
-0.423;-1.231;-1.306;
