[Item(weight=2, value=1), Item(weight=1, value=2), Item(weight=1, value=1)] 2
QAOA;WFQAOA;HQAOA
-0.295;-0.942;-0.558;
-0.802;-1.262;-1.042;
-0.481;-0.478;-0.513;
-0.113;-0.817;-0.340;
-0.183;-0.657;-0.714;
-0.634;-0.470;-0.393;
-0.520;-0.550;-0.521;
-0.435;-2.207;-0.715;
-0.143;-0.714;-0.554;
-0.191;-0.722;-0.504;
-0.333;-0.461;-0.696;
-1.184;-1.242;-0.848;
-0.730;-1.072;-0.999;
-0.740;-0.878;-0.397;
-0.228;-0.953;-0.916;
-0.286;-0.717;-0.585;
-0.384;-0.635;-0.579;
-0.321;-0.671;-0.825;
-0.530;-0.596;-0.637;
-0.384;-0.620;-0.432;
-0.288;-0.673;-0.965;
-0.574;-0.376;-1.168;
-0.440;-0.564;-0.544;
-0.332;-0.880;-0.469;
-0.156;-0.838;-0.872;
-0.574;-0.827;-0.768;
-0.350;-0.803;-0.626;
-0.102;-0.667;-0.526;
-0.281;-0.560;-0.834;
-0.352;-0.745;-0.482;
-0.175;-0.418;-0.753;
-0.323;-0.570;-0.916;
-0.112;-0.899;-0.438;
-0.275;-0.612;-0.365;
-0.198;-0.757;-0.480;
-0.267;-0.485;-0.386;
-0.207;-0.572;-0.605;
-0.522;-0.582;-0.597;
-0.320;-1.288;-0.768;
-0.562;-0.553;-0.719;
-0.351;-0.897;-0.519;
-0.202;-0.786;-0.569;
-0.331;-0.696;-0.691;
-0.285;-0.810;-0.551;
-0.164;-1.049;-1.164;
-0.454;-0.849;-0.726;
-0.240;-0.684;-0.571;
-0.186;-0.677;-0.512;
-0.172;-0.671;-0.547;
-0.446;-0.935;-0.335;
-0.413;-0.835;-0.770;
-0.232;-0.665;-0.607;
-0.431;-0.718;-0.736;
-0.371;-1.183;-0.923;
-0.511;-0.598;-0.473;
-0.125;-0.593;-0.700;
-0.146;-1.030;-0.621;
-0.217;-0.684;-0.437;
-1.121;-1.172;-0.609;
-0.282;-0.743;-0.537;
-0.343;-0.865;-0.713;
-0.296;-0.753;-0.725;
-0.177;-1.088;-0.644;
-0.436;-0.461;-0.971;
-0.213;-0.760;-0.809;
-0.250;-0.673;-0.463;
-0.514;-0.624;-0.336;
-0.299;-0.369;-0.414;
-0.212;-1.494;-1.033;
-0.158;-0.719;-0.873;
-0.074;-0.789;-0.682;
-0.401;-0.609;-0.775;
-0.188;-1.295;-1.296;
-0.572;-0.604;-0.664;
-0.424;-0.883;-0.827;
-0.053;-0.374;-0.632;
-1.189;-1.175;-0.778;
-0.772;-1.022;-0.409;
-0.321;-0.606;-0.613;
-0.315;-0.730;-0.588;
-0.047;-1.193;-0.556;
-0.362;-0.858;-0.747;
-0.254;-0.764;-0.963;
-0.304;-0.788;-0.573;
-0.375;-0.658;-0.507;
-0.201;-0.620;-0.460;
-0.691;-0.541;-0.749;
-0.051;-0.480;-1.191;
-0.265;-1.033;-0.935;
-0.164;-0.947;-0.637;
-0.276;-0.615;-0.753;
-0.340;-0.847;-0.734;
-0.422;-0.944;-0.796;
-0.237;-0.801;-0.788;
-0.362;-0.838;-0.626;
-0.335;-0.409;-0.822;
-0.472;-0.920;-0.503;
-0.277;-0.615;-0.634;
-0.453;-1.146;-0.712;
-0.315;-1.040;-0.877;
-0.288;-0.586;-0.469;
-0.546;-0.594;-0.648;
-0.237;-0.530;-0.581;
-0.091;-0.645;-0.665;
-0.380;-0.888;-0.950;
-0.296;-0.582;-0.548;
-0.275;-0.636;-0.606;
-0.497;-1.017;-0.931;
-0.378;-0.510;-0.683;
-0.303;-1.194;-0.624;
-0.321;-0.445;-0.643;
-0.445;-2.066;-1.256;
-0.169;-0.682;-0.708;
-0.379;-0.383;-0.525;
-0.096;-0.911;-0.739;
-0.349;-0.783;-0.801;
-0.275;-0.568;-0.816;
-0.364;-0.781;-0.699;
-0.249;-0.735;-0.647;
-0.324;-1.128;-1.083;
-0.752;-0.931;-0.808;
-0.162;-0.366;-0.857;
-0.195;-0.689;-0.514;
-1.060;-1.156;-0.498;
-0.185;-0.691;-0.672;
-1.118;-0.556;-0.749;
-0.652;-0.955;-0.702;
-0.140;-0.669;-0.707;
-0.456;-0.945;-0.651;
-0.276;-0.681;-0.667;
-0.690;-0.880;-0.772;
-0.416;-0.496;-0.529;
-0.339;-0.568;-0.667;
-0.422;-0.742;-0.740;
-0.516;-1.166;-0.578;
-0.465;-0.890;-0.693;
-0.147;-0.594;-0.615;
-0.677;-0.770;-0.917;
-0.406;-0.730;-0.794;
-0.384;-0.674;-0.642;
-0.130;-0.884;-0.691;
-0.248;-0.777;-0.939;
-0.402;-0.571;-0.500;
-0.740;-0.762;-0.357;
-0.334;-0.608;-0.764;
-0.202;-0.797;-0.758;
-0.495;-1.016;-0.952;
-0.434;-1.097;-0.887;
-0.475;-0.816;-0.506;
-0.300;-0.641;-0.559;
-0.375;-0.909;-0.562;
-0.309;-0.434;-0.423;
-0.211;-0.801;-0.736;
-0.312;-0.693;-0.908;
-0.330;-0.795;-0.636;
-0.321;-1.084;-0.456;
-0.485;-0.669;-0.957;
-0.409;-0.511;-0.839;
-0.425;-0.857;-1.111;
-0.166;-0.928;-0.570;
-0.745;-0.830;-0.608;
-0.231;-1.138;-1.038;
-0.272;-0.603;-0.384;
-0.177;-0.969;-0.589;
-0.231;-0.887;-0.747;
-0.091;-1.270;-0.713;
-0.235;-0.615;-1.683;
-0.232;-0.719;-0.601;
-0.136;-0.650;-0.720;
-0.657;-0.556;-0.475;
-0.337;-1.202;-0.480;
-0.218;-0.623;-0.987;
-0.415;-0.940;-0.581;
-0.646;-0.387;-0.605;
-0.390;-0.739;-1.109;
-0.266;-0.670;-0.455;
-0.199;-1.252;-0.802;
-0.246;-0.827;-1.131;
-0.419;-0.598;-0.974;
-0.677;-0.919;-0.751;
-0.219;-1.047;-0.655;
-0.263;-0.826;-0.937;
-0.525;-0.721;-0.806;
-0.333;-0.907;-0.766;
-0.476;-0.905;-0.353;
-0.341;-0.604;-0.405;
-0.143;-0.503;-0.754;
-0.281;-0.688;-0.618;
-0.167;-0.367;-0.752;
-0.378;-0.629;-0.588;
-0.438;-0.602;-0.526;
-0.391;-0.821;-0.476;
-0.504;-0.805;-0.773;
-0.376;-0.522;-0.535;
-0.049;-0.686;-0.684;
-0.268;-1.001;-0.853;
-0.133;-0.946;-0.396;
-1.109;-0.382;-0.869;
-0.269;-0.602;-0.663;
-0.541;-2.733;-0.505;
-0.219;-0.694;-0.498;
-0.299;-0.654;-0.767;
-0.386;-1.075;-0.808;
-0.815;-0.927;-0.453;
-0.267;-0.810;-1.014;
-0.249;-0.884;-0.705;
-0.803;-1.023;-0.882;
-0.069;-0.571;-0.913;
-0.348;-0.731;-1.299;
-0.346;-0.558;-0.693;
-0.512;-0.951;-0.705;
-0.425;-0.522;-0.463;
-0.972;-0.909;-0.965;
-0.272;-0.909;-0.871;
-0.614;-0.961;-0.536;
-0.382;-1.076;-0.567;
-0.336;-0.715;-0.464;
-0.348;-0.621;-0.453;
-0.287;-0.914;-0.711;
