[Item(weight=2, value=2), Item(weight=3, value=1)] 2
QAOA;WFQAOA;HQAOA
-0.125;-0.570;-0.719;
-0.106;-0.629;-0.309;
-0.140;-0.641;-0.575;
-0.072;-0.506;-0.439;
-0.541;-0.430;-0.803;
-0.581;-0.506;-0.472;
-0.498;-0.778;-0.430;
-0.403;-0.780;-0.782;
-0.367;-0.567;-0.266;
-0.660;-1.004;-0.609;
-0.564;-0.850;-0.418;
-0.128;-0.972;-0.483;
-0.440;-0.650;-0.873;
-0.149;-0.249;-0.231;
-0.423;-0.511;-0.741;
-0.800;-0.317;-0.197;
-0.020;-0.376;-1.019;
-0.092;-0.577;-0.521;
-0.404;-0.787;-0.711;
-0.281;-0.255;-0.388;
-0.101;-0.645;-0.694;
-0.125;-0.641;-0.255;
-0.497;-0.883;-0.870;
-0.270;-0.433;-0.250;
-0.146;-0.681;-0.285;
-0.084;-0.617;-0.827;
-0.068;-0.406;-0.976;
-0.222;-0.668;-0.504;
-0.413;-0.432;-0.535;
-0.609;-0.592;-0.587;
-0.016;-0.517;-0.450;
-0.072;-0.457;-0.423;
-0.102;-0.555;-0.955;
-0.019;-0.731;-0.290;
-0.160;-0.399;-0.384;
-0.183;-0.890;-0.260;
-0.556;-0.679;-0.465;
-0.113;-0.433;-0.571;
-0.045;-1.171;-0.687;
-0.421;-0.790;-0.502;
-0.042;-0.866;-0.248;
-0.796;-0.525;-0.715;
-0.593;-0.518;-0.300;
-0.252;-0.572;-0.442;
-0.216;-0.603;-0.587;
-0.527;-0.902;-0.761;
-0.646;-0.923;-0.344;
-0.187;-0.487;-0.562;
-0.709;-0.516;-0.241;
-0.399;-0.775;-0.618;
-0.218;-0.314;-0.687;
-0.214;-1.008;-0.575;
-0.448;-0.582;-0.569;
-0.246;-0.800;-0.761;
-0.541;-0.447;-0.427;
-0.475;-0.634;-0.567;
-0.449;-0.642;-0.328;
-0.064;-1.252;-0.383;
-0.505;-0.839;-0.580;
-0.177;-0.696;-0.265;
-0.054;-0.906;-0.468;
-0.272;-0.635;-0.656;
-0.146;-1.064;-0.393;
-0.092;-1.096;-0.228;
-0.001;-0.498;-0.466;
-0.219;-0.749;-0.422;
-0.305;-0.648;-0.480;
-0.668;-0.763;-0.437;
-0.860;-0.721;-0.347;
-0.282;-0.649;-0.197;
-0.141;-0.647;-0.443;
-0.754;-0.442;-0.777;
-0.341;-1.108;-0.730;
-0.496;-0.780;-0.817;
-0.280;-0.731;-0.452;
-0.202;-0.985;-0.383;
-0.086;-0.502;-0.499;
-0.198;-0.615;-0.611;
-0.004;-0.301;-0.329;
-0.313;-0.650;-0.359;
-0.823;-0.722;-0.456;
-0.125;-0.196;-0.378;
-0.086;-0.807;-1.094;
-0.685;-0.907;-0.603;
-0.253;-1.203;-0.759;
-0.080;-0.732;-0.395;
-0.360;-0.528;-0.676;
-0.047;-0.640;-0.555;
-0.095;-0.936;-0.732;
-0.416;-0.867;-0.738;
