,result,prop,energy
1,000001,0.01654783840902359,25.0
9,001001,0.017382146302425384,26.0
18,010010,0.018137404226318005,27.0
26,011010,0.018450716586502058,28.0
38,100110,0.018393450334074215,28.0
29,011101,0.018111764327151954,29.0
5,000101,0.01729297560663816,30.0
33,100001,0.018034488532055633,31.0
42,101010,0.01827789534348375,32.0
22,010110,0.018450718204136622,32.0
20,010100,0.015696045334382853,36.0
6,000110,0.017672209333241245,38.0
34,100010,0.01816651031871309,39.0
41,101001,0.0184319737967043,40.0
24,011000,0.015735775338113114,48.0
45,101101,0.018088864520344604,49.0
10,001010,0.017607598150982486,50.0
17,010001,0.01782998684927481,51.0
37,100101,0.018363603153198498,52.0
16,010000,0.01451130272098315,63.0
36,100100,0.015896425734917726,64.0
2,000010,0.016885225956228784,65.0
25,011001,0.018349579945914844,68.0
13,001101,0.01687921633947839,83.0
40,101000,0.01598612883364804,84.0
30,011110,0.017914648732960982,85.0
21,010101,0.018279328777393553,88.0
4,000100,0.01326487203141868,106.0
32,100000,0.014811494893507887,107.0
8,001000,0.013520273351275584,134.0
46,101110,0.017773318922049537,137.0
0,000000,0.012009548707905377,165.0
53,110101,0.017472301092509947,166.0
28,011100,0.015172164536004272,201.0
57,111001,0.0174176557023867,202.0
14,001110,0.016967439290895284,203.0
49,110001,0.016895700668059375,241.0
44,101100,0.015279730438493637,285.0
54,110110,0.017113307318992448,334.0
12,001100,0.012701978261879292,383.0
58,111010,0.016918881896346695,386.0
50,110010,0.016548431502524524,441.0
61,111101,0.016379137503100296,499.0
52,110100,0.014304179056434947,562.0
56,111000,0.014302044225691158,630.0
48,110000,0.013064057285554587,701.0
62,111110,0.015697614988075214,779.0
23,010111,0.01512784844995604,1028.0
60,111100,0.013002809259072594,1119.0
27,011011,0.014988154063428485,1120.0
19,010011,0.014416088214727488,1215.0
39,100111,0.014697475309673278,1216.0
43,101011,0.014517768582651455,1316.0
7,000111,0.013564705573534326,1418.0
35,100011,0.014039497476299439,1419.0
11,001011,0.013435237224942618,1526.0
3,000011,0.012566479692757019,1637.0
31,011111,0.013350040519929374,1753.0
47,101111,0.012876259860806347,1997.0
15,001111,0.011855081463220288,2255.0
55,110111,0.011368922824274017,2674.0
59,111011,0.011133575785782402,2822.0
51,110011,0.01064824279303585,2973.0
63,111111,0.009423859524501674,3791.0
